Mark,Competitor,DOB,Nat,Venue,Date
1:44.36,Ermias GIRMA,20 Jan 2005,ETH,"Avlo Atletiekclub, Lokeren (BEL)",22 May 2022
1:44.39,Marco AROP,20 Sep 1998,CAN,"McLeod Stadium, Langley (CAN)",25 Jun 2022
1:44.42,Collins KIPRUTO,12 Apr 1994,KEN,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",24 Aug 2022
1:44.43,Yassine HETHAT,30 Aug 1991,ALG,"Stade Sesquieres, Toulouse (FRA)",26 May 2022
1:44.43,Mohamed Ali GOUANED,05 Jul 2002,ALG,"Stade Charléty, Paris (FRA)",18 Jun 2022
1:44.47,Wyclife KINYAMAL,02 Jul 1997,KEN,"Letzigrund, Zürich (SUI)",08 Sep 2022
1:44.48,Marco AROP,20 Sep 1998,CAN,"Boudewijnstadion, Bruxelles (BEL)",02 Sep 2022
1:44.49,Patryk DOBEK,13 Feb 1994,POL,"Stadion Śląski, Chorzów (POL)",05 Jun 2022
1:44.49,Moad ZAHAFI,09 May 1998,MAR,"Hayward Field, Eugene, OR (USA)",10 Jun 2022
1:44.49,Kyle LANGFORD,02 Feb 1996,GBR,"Stadio Quercia, Rovereto (ITA)",30 Aug 2022
1:44.49,Wyclife KINYAMAL,02 Jul 1997,KEN,"Boudewijnstadion, Bruxelles (BEL)",02 Sep 2022
1:44.52,Djamel SEDJATI,03 May 1999,ALG,"Stade Complexe Olympique, Oran (ALG)",03 Jul 2022
1:44.53,Benjamin ROBERT,04 Jan 1998,FRA,"Stadion Śląski, Chorzów (POL)",05 Jun 2022
1:44.54,Max BURGIN,20 May 2002,GBR,"Mestský Stadion, Ostrava (CZE)",31 May 2022
1:44.54,Pierre-Ambroise BOSSE,11 May 1992,FRA,"Stade Charléty, Paris (FRA)",18 Jun 2022
1:44.54,Max BURGIN,20 May 2002,GBR,"Manchester Regional Arena, Manchester (GBR)",26 Jun 2022
1:44.54,Emmanuel WANYONYI,01 Aug 2004,KEN,"Hayward Field, Eugene, OR (USA)",23 Jul 2022
1:44.56,Marco AROP,20 Sep 1998,CAN,"Hayward Field, Eugene, OR (USA)",20 Jul 2022
1:44.57,Moad ZAHAFI,09 May 1998,MAR,"Stadio Quercia, Rovereto (ITA)",30 Aug 2022
1:44.58,Collins KIPRUTO,12 Apr 1994,KEN,"Mestský Stadion, Ostrava (CZE)",31 May 2022
1:44.59,Tshepo TSHITE,15 Jan 1997,RSA,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",03 Jun 2022
1:44.59,Andreas KRAMER,13 Apr 1997,SWE,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",03 Jun 2022
1:44.59,Collins KIPRUTO,12 Apr 1994,KEN,"Stadion De Veen, Heusden-Zolder (BEL)",02 Jul 2022
1:44.60,Bryce HOPPEL,05 Sep 1997,USA,"Hayward Field, Eugene, OR (USA)",26 Jun 2022
1:44.60,Slimane MOULA,25 Feb 1999,ALG,"Olympiastadion, Stockholm (SWE)",30 Jun 2022
1:44.60,Ben PATTISON,15 Dec 2001,GBR,"Longford Stadium Trafford, Manchester (GBR)",23 Jul 2022
1:44.61,Kyle LANGFORD,02 Feb 1996,GBR,"TSV Stadion, Pfungstadt (GER)",18 Jun 2022
1:44.65,Moad ZAHAFI,09 May 1998,MAR,"John McDonnell Field, Fayetteville, AR (USA)",27 May 2022
1:44.66,Cornelius TUWEI,24 May 1993,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",25 Jun 2022
1:44.67,Mohamed Ali GOUANED,05 Jul 2002,ALG,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",03 Jun 2022
1:44.67,Jesus Tonatiu LOPEZ,02 Aug 1997,MEX,"Hayward Field, Eugene, OR (USA)",20 Jul 2022
1:44.69,Joseph DENG,07 Jul 1998,AUS,"Stade Raymond Troussier, Decines (FRA)",11 Jun 2022
1:44.69,Collins KIPRUTO,12 Apr 1994,KEN,"Paavo Nurmen Stadion, Turku (FIN)",14 Jun 2022
1:44.72,Slimane MOULA,25 Feb 1999,ALG,Montgeron (FRA),15 May 2022
1:44.74,Jonah KOECH,12 Dec 1996,USA,"Hayward Field, Eugene, OR (USA)",26 Jun 2022
1:44.75,Andreas KRAMER,13 Apr 1997,SWE,"Paavo Nurmen Stadion, Turku (FIN)",14 Jun 2022
1:44.75,Andreas KRAMER,13 Apr 1997,SWE,"Stade Charléty, Paris (FRA)",18 Jun 2022
1:44.76,Mark ENGLISH,18 Mar 1993,IRL,"Hayward Field, Eugene, OR (USA)",20 Jul 2022
1:44.77,Bryce HOPPEL,05 Sep 1997,USA,"Letzigrund, Zürich (SUI)",08 Sep 2022
1:44.79,Mateusz BORKOWSKI,02 Apr 1997,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",03 Jun 2022
1:44.79,Yassine HETHAT,30 Aug 1991,ALG,"Stade Complexe Olympique, Oran (ALG)",03 Jul 2022
1:44.80,Yassine HETHAT,30 Aug 1991,ALG,"Sportcomplex De Leidse Hout, Leiden (NED)",11 Jun 2022
1:44.81,Festus LAGAT,10 Oct 1996,KEN,"Jack Kemp Stadium, Los Angeles, CA (USA)",09 Jul 2022
1:44.82,Neil GOURLEY,07 Feb 1995,GBR,"TSV Stadion, Pfungstadt (GER)",18 Jun 2022
1:44.83,Catalin TECUCEANU,09 Sep 1999,ITA,"Hayward Field, Eugene, OR (USA)",20 Jul 2022
1:44.84,Nicholas Kiplangat KEBENEI,07 Jun 1995,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",25 Jun 2022
1:44.85,Álvaro DE ARRIBA,02 Jun 1994,ESP,"Stadion Śląski, Chorzów (POL)",05 Jun 2022
1:44.85,Slimane MOULA,25 Feb 1999,ALG,"Hayward Field, Eugene, OR (USA)",23 Jul 2022
1:44.85,Mariano GARCÍA,25 Sep 1997,ESP,"Olympiastadion, München (GER)",21 Aug 2022
1:44.86,Mariano GARCÍA,25 Sep 1997,ESP,"Boudewijnstadion, Bruxelles (BEL)",02 Sep 2022
1:44.89,Noah KIBET,12 Apr 2004,KEN,"Mestský Stadion, Ostrava (CZE)",31 May 2022
1:44.89,Jonathan KITILIT,06 Jul 1995,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",25 Jun 2022
1:44.89,Tibo DE SMET,28 May 1999,BEL,"Stadion De Veen, Heusden-Zolder (BEL)",02 Jul 2022
1:44.89,Slimane MOULA,25 Feb 1999,ALG,"Hayward Field, Eugene, OR (USA)",21 Jul 2022
1:44.90,Tolesa BODENA,18 Feb 2000,ETH,"Mestský Stadion, Ostrava (CZE)",31 May 2022
1:44.90,Slimane MOULA,25 Feb 1999,ALG,"Hayward Field, Eugene, OR (USA)",20 Jul 2022
1:44.90,Collins KIPRUTO,12 Apr 1994,KEN,"Stadio Quercia, Rovereto (ITA)",30 Aug 2022
1:44.91,Jake WIGHTMAN,11 Jul 1994,GBR,"Olympiastadion, München (GER)",21 Aug 2022
1:44.92,Nijel AMOS,15 Mar 1994,BOT,"Mestský Stadion, Ostrava (CZE)",31 May 2022
1:44.93,Adrián BEN,04 Aug 1998,ESP,"Stadion Śląski, Chorzów (POL)",05 Jun 2022
1:44.94,Andreas KRAMER,13 Apr 1997,SWE,"Letzigrund, Zürich (SUI)",08 Sep 2022
1:44.95,Jonah KOECH,12 Dec 1996,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",30 Jul 2022
1:44.96,Elhassane MOUJAHID,19 Jan 2000,MAR,Rabat (MAR),31 May 2022
1:44.96,Simone BARONTINI,05 Jan 1999,ITA,"Stadio Quercia, Rovereto (ITA)",30 Aug 2022
1:44.97,Alex AMANKWA,02 Mar 1992,GHA,"Prince George's Sports and Learning Complex, Landover, MD (USA)",09 Jun 2022
1:44.97,Catalin TECUCEANU,09 Sep 1999,ITA,"Stade Complexe Olympique, Oran (ALG)",03 Jul 2022
1:44.98,Ramzi ABDENOUZ,23 May 1993,ALG,"Stade Sesquieres, Toulouse (FRA)",26 May 2022
1:44.99,Abdessalem AYOUNI,16 May 1994,TUN,"Stade Complexe Olympique, Oran (ALG)",03 Jul 2022
1:45.01,Emmanuel WANYONYI,01 Aug 2004,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 May 2022
1:45.02,Festus LAGAT,10 Oct 1996,KEN,"Icahn Stadium, New York, NY (USA)",20 May 2022
1:42.91,Nijel AMOS,15 Mar 1994,BOT,"Stade Louis II, Monaco (MON)",09 Jul 2021
1:43.04,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Stade Louis II, Monaco (MON)",09 Jul 2021
1:43.17,Clayton MURPHY,26 Feb 1995,USA,"Hayward Field, Eugene, OR (USA)",21 Jun 2021
1:43.26,Marco AROP,20 Sep 1998,CAN,"Stade Louis II, Monaco (MON)",09 Jul 2021
1:43.44,Jesus Tonatiu LOPEZ,02 Aug 1997,MEX,"Marietta HS, Marietta, GA (USA)",09 Jul 2021
1:43.57,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stade Louis II, Monaco (MON)",09 Jul 2021
1:43.63,Elliot GILES,26 May 1994,GBR,"Arena, Toruń (POL) (i)",17 Feb 2021
1:43.73,Patryk DOBEK,13 Feb 1994,POL,"Stadion Śląski, Chorzów (POL)",20 Jun 2021
1:43.75,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"National Stadium, Tokyo (JPN)",31 Jul 2021
1:43.76,Cornelius TUWEI,24 May 1993,KEN,"Stadion De Veen, Heusden-Zolder (BEL)",03 Jul 2021
1:43.76,Emmanuel WANYONYI,01 Aug 2004,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",22 Aug 2021
1:43.81,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Boudewijnstadion, Bruxelles (BEL)",03 Sep 2021
1:43.82,Oliver DUSTIN,29 Nov 2000,GBR,"Parc des Sports C. Ehrmann, Nice (FRA)",12 Jun 2021
1:43.84,Elias NGENY,04 May 1996,KEN,"Nyayo National Stadium, Nairobi (KEN)",29 May 2021
1:43.84,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Olympiastadion, Stockholm (SWE)",04 Jul 2021
1:43.85,Isaiah JEWETT,06 Feb 1997,USA,"Hayward Field, Eugene, OR (USA)",21 Jun 2021
1:43.91,Wyclife KINYAMAL,02 Jul 1997,KEN,"Suhaim bin Hamad Stadium, Doha (QAT)",28 May 2021
1:43.94,Wyclife KINYAMAL,02 Jul 1997,KEN,"Stade Charléty, Paris (FRA)",28 Aug 2021
1:43.95,Collins KIPRUTO,12 Apr 1994,KEN,"Stade Delort, Marseille (FRA)",09 Jun 2021
1:44.00,Marco AROP,20 Sep 1998,CAN,"Olympiastadion, Stockholm (SWE)",04 Jul 2021
1:44.04,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.05,Elliot GILES,26 May 1994,GBR,"Olympiastadion, Stockholm (SWE)",04 Jul 2021
1:44.07,Elliot GILES,26 May 1994,GBR,"Stade Louis II, Monaco (MON)",09 Jul 2021
1:44.11,Peter BOL,22 Feb 1994,AUS,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.13,Peter BOL,22 Feb 1994,AUS,"National Stadium, Tokyo (JPN)",31 Jul 2021
1:44.14,Max BURGIN,20 May 2002,GBR,"Mestský Stadion, Ostrava (CZE)",19 May 2021
1:44.14,Jamie WEBB,01 Jun 1994,GBR,"Stadion Śląski, Chorzów (POL)",20 Jun 2021
1:44.14,Bryce HOPPEL,05 Sep 1997,USA,"Hayward Field, Eugene, OR (USA)",21 Jun 2021
1:44.18,Adrián BEN,04 Aug 1998,ESP,"Olympiastadion, Stockholm (SWE)",04 Jul 2021
1:44.18,Clayton MURPHY,26 Feb 1995,USA,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.20,Elliot GILES,26 May 1994,GBR,"Stadion Śląski, Chorzów (POL)",20 Jun 2021
1:44.21,Donavan BRAZIER,15 Apr 1997,USA,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 Feb 2021
1:44.25,Oussama NABIL,18 Feb 1996,MAR,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",27 Jun 2021
1:44.25,Yassine HETHAT,30 Aug 1991,ALG,Castellón (ESP),29 Jun 2021
1:44.28,Patryk DOBEK,13 Feb 1994,POL,"Stade Louis II, Monaco (MON)",09 Jul 2021
1:44.28,Gabriel TUAL,09 Apr 1998,FRA,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.30,Adrián BEN,04 Aug 1998,ESP,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.31,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Stadion Śląski, Chorzów (POL)",20 Jun 2021
1:44.33,Collins KIPRUTO,12 Apr 1994,KEN,"Stadion De Veen, Heusden-Zolder (BEL)",03 Jul 2021
1:44.35,Charlie HUNTER,20 Jul 1996,AUS,"McKenzie Community Track, Vida, OR (USA)",22 Jun 2021
1:44.35,Daniel ROWDEN,09 Sep 1997,GBR,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.37,Bryce HOPPEL,05 Sep 1997,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2021
1:44.40,Jesus Tonatiu LOPEZ,02 Aug 1997,MEX,"Charles Berkel Memorial Stadium, Leavenworth, KS (USA)",01 May 2021
1:44.41,Clayton MURPHY,26 Feb 1995,USA,"Stade Louis II, Monaco (MON)",09 Jul 2021
1:44.42,Cornelius TUWEI,24 May 1993,KEN,"Paavo Nurmen Stadion, Turku (FIN)",08 Jun 2021
1:44.44,Gabriel TUAL,09 Apr 1998,FRA,"Parc des Sports C. Ehrmann, Nice (FRA)",12 Jun 2021
1:44.45,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Suhaim bin Hamad Stadium, Doha (QAT)",28 May 2021
1:44.45,Mohamed Ali GOUANED,05 Jul 2002,ALG,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",22 Aug 2021
1:44.45,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stade Charléty, Paris (FRA)",28 Aug 2021
1:44.47,Festus LAGAT,10 Oct 1996,KEN,"Cougar Athletic Stadium, Azusa, CA (USA)",25 Jul 2021
1:44.49,Elliot GILES,26 May 1994,GBR,"National Stadium, Tokyo (JPN)",31 Jul 2021
1:44.50,Marco AROP,20 Sep 1998,CAN,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 Aug 2021
1:44.51,Krzysztof RÓŻNICKI,29 Aug 2003,POL,"Stadion Śląski, Chorzów (POL)",20 Jun 2021
1:44.51,Isaiah HARRIS,18 Oct 1996,USA,"Olympiastadion, Stockholm (SWE)",04 Jul 2021
1:44.51,Marco AROP,20 Sep 1998,CAN,"Hayward Field, Eugene, OR (USA)",21 Aug 2021
1:44.53,Benjamin ROBERT,04 Jan 1998,FRA,"Stade Delort, Marseille (FRA)",09 Jun 2021
1:44.53,Amel TUKA,09 Jan 1991,BIH,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.54,Jamie WEBB,01 Jun 1994,GBR,"Arena, Toruń (POL) (i)",17 Feb 2021
1:44.54,Michael SARUNI,18 Jun 1995,KEN,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.56,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Letzigrund, Zürich (SUI)",09 Sep 2021
1:44.57,Collins KIPRUTO,12 Apr 1994,KEN,"Stadion Manfort, Leverkusen (GER)",27 Jun 2021
1:44.58,Isaiah HARRIS,18 Oct 1996,USA,"Hayward Field, Eugene, OR (USA)",21 Jun 2021
1:44.59,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Paavo Nurmen Stadion, Turku (FIN)",08 Jun 2021
1:44.60,Daniel ROWDEN,09 Sep 1997,GBR,"Suhaim bin Hamad Stadium, Doha (QAT)",28 May 2021
1:44.60,Patryk DOBEK,13 Feb 1994,POL,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.62,Peter BOL,22 Feb 1994,AUS,"Performance Centre, Gold Coast (AUS)",12 Jun 2021
1:44.62,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 Aug 2021
1:44.63,Cornelius TUWEI,24 May 1993,KEN,"Nyayo National Stadium, Nairobi (KEN)",16 May 2021
1:44.63,Wyclife KINYAMAL,02 Jul 1997,KEN,"Stadion Śląski, Chorzów (POL)",05 Sep 2021
1:44.65,Teddese LEMI,20 Jan 1999,ETH,"Stadion Śląski, Chorzów (POL)",20 Jun 2021
1:44.68,Isaiah JEWETT,06 Feb 1997,USA,"Hayward Field, Eugene, OR (USA)",11 Jun 2021
1:44.68,Jonathan KITILIT,06 Jul 1995,KEN,"Olympiastadion, Stockholm (SWE)",04 Jul 2021
1:44.71,Mark ENGLISH,18 Mar 1993,IRL,Castellón (ESP),29 Jun 2021
1:44.71,Marc REUTHER,23 Jun 1996,GER,"Stade Jean Jacoby, Schifflange (LUX)",22 Aug 2021
1:44.72,Archie DAVIS,16 Oct 1998,GBR,"Olympiastadion, Stockholm (SWE)",04 Jul 2021
1:44.74,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.74,Elliot GILES,26 May 1994,GBR,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.74,Marco AROP,20 Sep 1998,CAN,"Stade Charléty, Paris (FRA)",28 Aug 2021
1:44.76,Marco AROP,20 Sep 1998,CAN,"Mike Sanders Track & Field Complex, Starkville, MS (USA)",30 Apr 2021
1:44.76,Amel TUKA,09 Jan 1991,BIH,"Suhaim bin Hamad Stadium, Doha (QAT)",28 May 2021
1:44.76,Patryk DOBEK,13 Feb 1994,POL,"Stade des Grands Pêchers, Montreuil (FRA)",01 Jun 2021
1:44.76,Isaiah HARRIS,18 Oct 1996,USA,"International Stadium, Gateshead (GBR)",13 Jul 2021
1:44.77,Jesus Tonatiu LOPEZ,02 Aug 1997,MEX,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.78,Moad ZAHAFI,09 May 1998,MAR,"Stade Jean Jacoby, Schifflange (LUX)",22 Aug 2021
1:44.80,Hillary BIWOTT,02 Dec 2002,KEN,"Nyayo National Stadium, Nairobi (KEN)",29 May 2021
1:44.80,Collins KIPRUTO,12 Apr 1994,KEN,"Stade des Grands Pêchers, Montreuil (FRA)",01 Jun 2021
1:44.80,Patryk DOBEK,13 Feb 1994,POL,"Stade Delort, Marseille (FRA)",09 Jun 2021
1:44.80,Saúl ORDÓÑEZ,10 Apr 1994,ESP,Castellón (ESP),29 Jun 2021
1:44.82,Javier MIRON,13 Dec 1999,ESP,"Stade Delort, Marseille (FRA)",09 Jun 2021
1:44.84,Abdelati EL GUESSE,27 Feb 1993,MAR,"National Stadium, Tokyo (JPN)",31 Jul 2021
1:44.84,Eliott CRESTAN,22 Feb 1999,BEL,"National Stadium, Tokyo (JPN)",01 Aug 2021
1:44.84,Kacper LEWALSKI,07 May 2003,POL,"Stadion Śląski, Chorzów (POL)",05 Sep 2021
1:44.85,Mateusz BORKOWSKI,02 Apr 1997,POL,"Paavo Nurmen Stadion, Turku (FIN)",08 Jun 2021
1:44.85,Jeffrey RISELEY,11 Nov 1986,AUS,"Stadion Śląski, Chorzów (POL)",20 Jun 2021
1:44.85,Amel TUKA,09 Jan 1991,BIH,"Stade Louis II, Monaco (MON)",09 Jul 2021
1:44.88,Peter BOL,22 Feb 1994,AUS,"Performance Centre, Gold Coast (AUS)",05 Jun 2021
1:44.88,Noah KIBET,12 Apr 2004,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",22 Aug 2021
1:44.88,Peter BOL,22 Feb 1994,AUS,"Stade Charléty, Paris (FRA)",28 Aug 2021
1:44.89,Peter BOL,22 Feb 1994,AUS,"Stade Raymond Petit, Tomblaine (FRA)",05 Jul 2021
1:44.89,Elliot GILES,26 May 1994,GBR,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 Jul 2021
1:43.15,Donavan BRAZIER,15 Apr 1997,USA,"Stade Louis II, Monaco (MON)",14 Aug 2020
1:43.23,Bryce HOPPEL,05 Sep 1997,USA,"Stade Louis II, Monaco (MON)",14 Aug 2020
1:43.76,Donavan BRAZIER,15 Apr 1997,USA,"Olympiastadion, Stockholm (SWE)",23 Aug 2020
1:43.84,Donavan BRAZIER,15 Apr 1997,USA,"Newberg, OR (USA)",31 Jul 2020
1:44.09,Daniel ROWDEN,09 Sep 1997,GBR,"Sports Park Mladost, Zagreb (CRO)",15 Sep 2020
1:44.14,Marco AROP,20 Sep 1998,CAN,"Stade Louis II, Monaco (MON)",14 Aug 2020
1:44.16,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Suhaim bin Hamad Stadium, Doha (QAT)",25 Sep 2020
1:44.18,Jake WIGHTMAN,11 Jul 1994,GBR,"Mestský Stadion, Ostrava (CZE)",08 Sep 2020
1:44.22,Donavan BRAZIER,15 Apr 1997,USA,"Armory Track&Field Center, New York, NY (USA) (i)",08 Feb 2020
1:44.34,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stade Delort, Marseille (FRA)",03 Sep 2020
1:44.47,Andreas KRAMER,13 Apr 1997,SWE,"Mestský Stadion, Ostrava (CZE)",08 Sep 2020
1:44.51,Amel TUKA,09 Jan 1991,BIH,"Mestský Stadion, Ostrava (CZE)",08 Sep 2020
1:44.56,Benjamin ROBERT,04 Jan 1998,FRA,"Stade Louis II, Monaco (MON)",14 Aug 2020
1:44.56,Elliot GILES,26 May 1994,GBR,"Suhaim bin Hamad Stadium, Doha (QAT)",25 Sep 2020
1:44.67,Marco AROP,20 Sep 1998,CAN,"Olympiastadion, Stockholm (SWE)",23 Aug 2020
1:44.68,Elliot GILES,26 May 1994,GBR,"Stade Delort, Marseille (FRA)",03 Sep 2020
1:44.74,Daniel ROWDEN,09 Sep 1997,GBR,"Slottsskogsvallen, Göteborg (SWE)",29 Aug 2020
1:44.75,Max BURGIN,20 May 2002,GBR,"Longford Stadium Trafford, Manchester (GBR)",11 Aug 2020
1:44.75,Elliot GILES,26 May 1994,GBR,"Sports Park Mladost, Zagreb (CRO)",15 Sep 2020
1:44.78,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Nyayo National Stadium, Nairobi (KEN)",03 Oct 2020
1:44.81,Edose IBADIN,27 Feb 1993,NGR,"Alexandria, VA (USA)",01 Aug 2020
1:44.82,Tony VAN DIEPEN,17 Apr 1996,NED,"Mestský Stadion, Ostrava (CZE)",08 Sep 2020
1:44.82,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stadio Quercia, Rovereto (ITA)",08 Sep 2020
1:44.83,Kyle LANGFORD,02 Feb 1996,GBR,"Stade Louis II, Monaco (MON)",14 Aug 2020
1:44.85,Jake WIGHTMAN,11 Jul 1994,GBR,"Sports Park Mladost, Zagreb (CRO)",15 Sep 2020
1:44.93,Marc REUTHER,23 Jun 1996,GER,"Stade Louis II, Monaco (MON)",14 Aug 2020
1:44.95,Bryce HOPPEL,05 Sep 1997,USA,"Sports Park Mladost, Zagreb (CRO)",15 Sep 2020
1:44.96,Peter BOL,22 Feb 1994,AUS,"Stade Louis II, Monaco (MON)",14 Aug 2020
1:45.04,Andreas KRAMER,13 Apr 1997,SWE,"Olympiastadion, Stockholm (SWE)",23 Aug 2020
1:45.05,Andreas KRAMER,13 Apr 1997,SWE,"Sollentunavallen, Sollentuna (SWE)",10 Aug 2020
1:45.11,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Olympiastadion, Stockholm (SWE)",23 Aug 2020
1:45.18,Elliot GILES,26 May 1994,GBR,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 Aug 2020
1:45.18,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Mestský Stadion, Ostrava (CZE)",08 Sep 2020
1:45.21,Joseph DENG,07 Jul 1998,AUS,"Nyayo National Stadium, Nairobi (KEN)",03 Oct 2020
1:45.26,Collins KIPRUTO,12 Apr 1994,KEN,"Stadio Quercia, Rovereto (ITA)",08 Sep 2020
1:45.30,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stadion Śląski, Chorzów (POL)",06 Sep 2020
1:45.34,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stadion Śląski, Chorzów (POL)",25 Aug 2020
1:45.34,Andreas KRAMER,13 Apr 1997,SWE,"Slottsskogsvallen, Göteborg (SWE)",29 Aug 2020
1:45.36,Collins KIPRUTO,12 Apr 1994,KEN,"Sports Park Mladost, Zagreb (CRO)",15 Sep 2020
1:45.38,Peter BOL,22 Feb 1994,AUS,"AIS Athletics Track, Canberra (AUS)",29 Feb 2020
1:45.39,Marc REUTHER,23 Jun 1996,GER,"Hartwig-Gauder-Halle, Erfurt (GER) (i)",02 Feb 2020
1:45.39,Andreas KRAMER,13 Apr 1997,SWE,"Sports Park Mladost, Zagreb (CRO)",15 Sep 2020
1:45.40,Joseph DENG,07 Jul 1998,AUS,"AIS Athletics Track, Canberra (AUS)",29 Feb 2020
1:45.46,Elliot GILES,26 May 1994,GBR,"Sollentunavallen, Sollentuna (SWE)",10 Aug 2020
1:45.47,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Stadion Śląski, Chorzów (POL)",06 Sep 2020
1:45.48,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stade Louis II, Monaco (MON)",14 Aug 2020
1:45.51,Elliot GILES,26 May 1994,GBR,"Mestský Stadion, Ostrava (CZE)",08 Sep 2020
1:45.52,Wyclife KINYAMAL,02 Jul 1997,KEN,"Nyayo National Stadium, Nairobi (KEN)",03 Oct 2020
1:45.53,Andreas KRAMER,13 Apr 1997,SWE,"Uppsala Friidrottsarena, Uppsala (SWE)",16 Aug 2020
1:45.53,Wyclife KINYAMAL,02 Jul 1997,KEN,"Mestský Stadion, Ostrava (CZE)",08 Sep 2020
1:45.54,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Stadion Śląski, Chorzów (POL)",25 Aug 2020
1:45.55,Jake WIGHTMAN,11 Jul 1994,GBR,"Sollentunavallen, Sollentuna (SWE)",10 Aug 2020
1:45.55,Daniel ROWDEN,09 Sep 1997,GBR,"Sollentunavallen, Sollentuna (SWE)",10 Aug 2020
1:45.57,Guy LEARMONTH,20 Apr 1992,GBR,"Stadion Śląski, Chorzów (POL)",06 Sep 2020
1:45.60,Álvaro DE ARRIBA,02 Jun 1994,ESP,"Sports Park Mladost, Zagreb (CRO)",15 Sep 2020
1:45.64,Adam KSZCZOT,02 Sep 1989,POL,"Stadion Śląski, Chorzów (POL)",06 Sep 2020
1:45.66,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Sports Park Mladost, Zagreb (CRO)",15 Sep 2020
1:45.68,Wyclife KINYAMAL,02 Jul 1997,KEN,"Suhaim bin Hamad Stadium, Doha (QAT)",25 Sep 2020
1:45.68,Cornelius TUWEI,24 May 1993,KEN,"Nyayo National Stadium, Nairobi (KEN)",03 Oct 2020
1:45.70,Bryce HOPPEL,05 Sep 1997,USA,"Armory Track&Field Center, New York, NY (USA) (i)",08 Feb 2020
1:45.71,Saúl ORDÓÑEZ,10 Apr 1994,ESP,"Stadion De Veen, Heusden-Zolder (BEL)",06 Sep 2020
1:45.71,Collins KIPRUTO,12 Apr 1994,KEN,"Nyayo National Stadium, Nairobi (KEN)",03 Oct 2020
1:45.74,Peter BOL,22 Feb 1994,AUS,"Suhaim bin Hamad Stadium, Doha (QAT)",25 Sep 2020
